step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
1,PAYMENT,132032,365838,233806,119879,251911,0
2,TRANSFER,54986,137337,82351,4426,4426,1
3,PAYMENT,912856,175203,0,191335,1104191,0
4,TRANSFER,329465,64820,0,194027,523492,0
5,CASH_OUT,199141,791743,592602,184779,383920,0
6,TRANSFER,989536,258795,0,8666,8666,1
7,TRANSFER,384781,149503,0,189,189,1
8,PAYMENT,953377,905778,0,67435,1020812,0
9,TRANSFER,555939,902648,346709,3890,3890,1
10,TRANSFER,256940,473254,216314,8792,8792,1
11,DEBIT,205141,698361,493220,154969,360110,0
12,PAYMENT,648631,251995,0,120174,768805,0
13,TRANSFER,572943,256508,0,106530,679473,0
14,CASH_OUT,460437,724839,264402,197629,658066,0
15,TRANSFER,341197,315139,0,12990,12990,1
16,CASH_OUT,202383,196769,0,99299,301682,0
17,TRANSFER,535922,487879,0,91387,627309,0
18,PAYMENT,579979,220884,0,23247,603226,0
19,TRANSFER,607186,533556,0,194776,801962,0
20,PAYMENT,926175,516588,0,38044,964219,0
21,CASH_OUT,376996,48984,0,120151,497147,0
22,PAYMENT,133867,648663,514796,179262,313129,0
23,CASH_OUT,301748,688519,386771,129312,431060,0
24,TRANSFER,134733,288998,154265,183323,318056,0
25,CASH_OUT,30635,996107,965472,2454,2454,1
26,TRANSFER,648072,489570,0,10965,659037,0
27,CASH_OUT,201764,491234,289470,13773,13773,1
28,CASH_OUT,214120,623094,408974,90982,305102,0
29,PAYMENT,917810,218126,0,122409,1040219,0
30,PAYMENT,253718,769598,515880,50015,303733,0
31,TRANSFER,631447,185340,0,149213,780660,0
32,PAYMENT,727370,973548,246178,198286,925656,0
33,CASH_OUT,164999,973324,808325,9914,9914,1
34,TRANSFER,415615,43585,0,173629,589244,0
35,TRANSFER,527081,881691,354610,16157,16157,1
36,CASH_OUT,542435,288249,0,11494,11494,1
37,CASH_OUT,685540,652664,0,137848,823388,0
38,CASH_OUT,579404,402690,0,5530,5530,1
39,PAYMENT,790280,228576,0,13545,803825,0
40,PAYMENT,165938,335674,169736,93557,259495,0
41,PAYMENT,593228,118451,0,185456,778684,0
42,PAYMENT,39453,193075,153622,52733,92186,0
43,TRANSFER,482790,416880,0,17082,17082,1
44,TRANSFER,637247,898613,261366,5855,5855,1
45,CASH_OUT,257526,177789,0,18091,18091,1
46,PAYMENT,681769,480671,0,194806,876575,0
47,TRANSFER,622894,109751,0,4389,4389,1
48,PAYMENT,969687,106081,0,196805,1166492,0
49,PAYMENT,110178,867055,756877,22671,132849,0
50,CASH_OUT,959711,610490,0,15708,15708,1
51,CASH_OUT,133983,318394,184411,1986,1986,1
52,CASH_OUT,142583,658271,515688,8680,8680,1
53,TRANSFER,71395,743974,672579,37504,108899,0
54,TRANSFER,466972,825816,358844,16646,16646,1
55,TRANSFER,358845,107512,0,111472,470317,0
56,PAYMENT,365971,375037,9066,20932,386903,0
57,CASH_OUT,192606,990198,797592,19554,19554,1
58,TRANSFER,969011,590978,0,120885,1089896,0
59,CASH_OUT,798715,422515,0,5539,5539,1
60,CASH_OUT,978871,516349,0,2557,2557,1
61,CASH_OUT,133372,767836,634464,11969,11969,1
62,TRANSFER,454451,312252,0,5699,5699,1
63,PAYMENT,877944,480047,0,135059,1013003,0
64,PAYMENT,128491,439430,310939,86416,214907,0
65,PAYMENT,256787,725451,468664,107450,364237,0
66,PAYMENT,282074,934933,652859,137965,420039,0
67,TRANSFER,571721,134508,0,136967,708688,0
68,TRANSFER,573765,965908,392143,170862,744627,0
69,PAYMENT,750120,879611,129491,171836,921956,0
70,PAYMENT,974439,627234,0,109616,1084055,0
71,PAYMENT,711951,124123,0,149661,861612,0
72,DEBIT,298456,829957,531501,178274,476730,0
73,TRANSFER,820360,411927,0,301,301,1
74,DEBIT,459551,971744,512193,124019,583570,0
75,PAYMENT,377912,268246,0,181408,559320,0
76,PAYMENT,254179,550929,296750,165656,419835,0
77,PAYMENT,940697,983609,42912,103746,1044443,0
78,TRANSFER,36731,766577,729846,11093,47824,0
79,PAYMENT,57058,82074,25016,10729,67787,0
80,CASH_OUT,197492,158823,0,130858,328350,0
81,TRANSFER,367754,579036,211282,16921,16921,1
82,CASH_OUT,553980,797079,243099,110627,664607,0
83,CASH_OUT,264612,601863,337251,70031,334643,0
84,PAYMENT,612310,448982,0,124046,736356,0
85,PAYMENT,996261,666326,0,124862,1121123,0
86,PAYMENT,93948,52921,0,180798,274746,0
87,DEBIT,284921,55609,0,187733,472654,0
88,PAYMENT,70413,389957,319544,184078,254491,0
89,PAYMENT,461343,113632,0,150580,611923,0
90,PAYMENT,704207,376836,0,87235,791442,0
